Sweep Direction,Distance,Time,Location
0,15,117.3918457,Extreme left
0,15,159.7185059,Extreme left
0,15,159.7185059,Extreme left
0,15,159.7194824,Extreme left
0,15,159.7194824,Extreme left
0,15,159.7224121,Extreme left
0,15,159.723877,Extreme left
0,15,159.7243652,Extreme left
0,15,159.7243652,Extreme left
0,15,159.7282715,Extreme left
0,15,159.7312012,Extreme left
0,15,159.7312012,Extreme left
0,15,159.7321777,Extreme left
0,15,159.7321777,Extreme left
0,15,159.732666,Extreme left
0,15,159.732666,Extreme left
0,15,159.7341309,Extreme left
0,15,159.7341309,Extreme left
0,15,159.734375,Extreme left
0,15,159.7353516,Extreme left
0,15,159.7390137,Extreme left
0,15,159.7390137,Extreme left
0,15,159.739502,Extreme left
0,15,159.7397461,Extreme left
0,15,159.7404785,Extreme left
0,15,159.7404785,Extreme left
0,15,159.7412109,Extreme left
0,15,159.7416992,Extreme left
0,15,159.7424316,Extreme left
0,15,159.7429199,Extreme left
0,15,159.7429199,Extreme left
0,15,159.7434082,Extreme left
0,15,159.7436523,Extreme left
0,15,159.7436523,Extreme left
0,15,159.7438965,Extreme left
0,15,159.7438965,Extreme left
0,15,159.7443848,Extreme left
0,15,159.7446289,Extreme left
0,15,159.7446289,Extreme left
0,15,159.7451172,Extreme left
0,15,159.7453613,Extreme left
0,15,159.7453613,Extreme left
0,15,159.7453613,Extreme left
0,15,159.7453613,Extreme left
0,15,159.7460938,Extreme left
0,15,159.7478027,Extreme left
0,15,159.7478027,Extreme left
0,15,159.7485352,Extreme left
0,15,159.7485352,Extreme left
0,15,159.751709,Extreme left
0,15,159.7519531,Extreme left
0,15,159.7519531,Extreme left
0,15,159.7524414,Extreme left
0,15,159.7524414,Extreme left
0,15,159.7526855,Extreme left
0,15,159.7529297,Extreme left
0,15,159.753418,Extreme left
0,15,159.7546387,Extreme left
0,15,159.755127,Extreme left
0,15,159.7565918,Extreme left
0,15,159.7568359,Extreme left
0,15,159.7568359,Extreme left
0,15,159.7568359,Extreme left
0,15,159.7568359,Extreme left
0,15,159.7570801,Extreme left
0,15,159.7570801,Extreme left
0,15,159.7570801,Extreme left
0,15,159.7570801,Extreme left
0,15,159.7578125,Extreme left
0,15,159.7578125,Extreme left
0,15,159.7578125,Extreme left
0,15,159.7580566,Extreme left
0,15,159.7580566,Extreme left
0,15,159.7590332,Extreme left
0,15,159.7592773,Extreme left
0,15,159.7592773,Extreme left
0,15,159.7592773,Extreme left
0,15,159.7595215,Extreme left
0,15,159.7595215,Extreme left
0,15,159.7602539,Extreme left
0,15,159.760498,Extreme left
0,15,159.7609863,Extreme left
0,15,159.7609863,Extreme left
0,15,159.7609863,Extreme left
0,15,159.7617188,Extreme left
0,15,159.7617188,Extreme left
0,15,159.7619629,Extreme left
0,15,159.7629395,Extreme left
0,15,159.7631836,Extreme left
0,15,159.7634277,Extreme left
0,15,159.7634277,Extreme left
0,15,159.7634277,Extreme left
0,15,159.7641602,Extreme left
0,15,159.7651367,Extreme left
0,15,159.7651367,Extreme left
0,15,159.7653809,Extreme left
0,15,159.765625,Extreme left
0,15,159.7658691,Extreme left
0,15,159.7663574,Extreme left
0,15,159.7663574,Extreme left
0,15,159.7668457,Extreme left
0,15,159.7668457,Extreme left
0,15,159.7670898,Extreme left
0,15,159.7687988,Extreme left
0,15,159.7692871,Extreme left
0,15,159.7692871,Extreme left
0,15,159.7695313,Extreme left
0,15,159.7695313,Extreme left
0,15,159.770752,Extreme left
0,15,159.770752,Extreme left
0,15,159.770752,Extreme left
0,15,159.7709961,Extreme left
0,15,159.7709961,Extreme left
0,15,159.7717285,Extreme left
0,15,159.7717285,Extreme left
0,15,159.7729492,Extreme left
0,15,159.7731934,Extreme left
0,15,159.7731934,Extreme left
0,15,159.7731934,Extreme left
0,15,159.7756348,Extreme left
0,15,159.7763672,Extreme left
0,15,159.7770996,Extreme left
0,15,159.7773438,Extreme left
0,15,159.7773438,Extreme left
0,15,159.7773438,Extreme left
0,15,159.7773438,Extreme left
0,15,159.7773438,Extreme left
0,15,159.7775879,Extreme left
0,15,159.7775879,Extreme left
0,15,159.7775879,Extreme left
0,15,159.7775879,Extreme left
0,15,159.7775879,Extreme left
0,15,159.7775879,Extreme left
0,15,159.7780762,Extreme left
0,15,159.7783203,Extreme left
0,15,159.7783203,Extreme left
0,15,159.7783203,Extreme left
0,15,159.7785645,Extreme left
0,15,159.7790527,Extreme left
0,15,159.779541,Extreme left
0,15,159.7797852,Extreme left
0,15,159.7800293,Extreme left
0,15,159.7800293,Extreme left
0,15,159.7802734,Extreme left
0,15,159.7807617,Extreme left
0,15,159.7814941,Extreme left
0,15,159.7817383,Extreme left
0,15,159.7827148,Extreme left
0,15,159.7827148,Extreme left
0,15,159.7844238,Extreme left
0,15,159.7844238,Extreme left
0,15,159.7851563,Extreme left
0,15,159.7851563,Extreme left
0,15,159.7851563,Extreme left
0,15,159.7851563,Extreme left
0,15,159.7851563,Extreme left
0,15,159.7851563,Extreme left
0,15,159.7861328,Extreme left
0,15,159.7875977,Extreme left
0,15,159.7878418,Extreme left
0,15,159.7878418,Extreme left
0,15,159.7883301,Extreme left
